age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
69.9,3,8,1,3,2,3,5,1,2,2
41,0,8,1,2,6,4,4,4,2,2
80,3,9,1,3,6,3,5,1,3,2
61.6,2,8,1,3,6,5,5,4,6,6
31.6,0,10,0,3,6,5,5,4,4,4
77.6,0,10,0,2,1,5,4,2,2,2
62.7,2,8,0,3,4,3,4,4,1,1
54.8,2,8,0,3,2,3,3,3,6,4
80,1,5,0,3,5,1,2,2,1,1
71.6,5,7,0,3,2,1,5,4,4,3
59.5,2,9,1,2,3,2,3,4,2,1
41.2,2,9,0,3,7,5,5,4,6,4
78.8,1,9,1,3,1,2,4,4,2,1
67.8,3,8,0,3,4,5,5,4,3,3
74.8,3,5,0,3,1,1,4,4,1,1
77.9,0,10,1,3,7,4,5,4,2,2
53.7,2,7,0,3,3,3,3,1,2,2
61.3,2,9,0,3,7,4,4,2,6,2
39.8,2,8,1,3,6,4,4,2,2,1
48.9,2,7,1,3,3,4,3,4,3,1
40.6,3,10,1,3,6,5,5,4,6,6
29.9,0,9,1,3,4,3,5,3,4,2
18,0,7,1,3,1,4,3,3,1,1
74.9,2,6,1,3,7,5,5,2,6,6
44.6,3,8,1,3,2,4,5,2,5,5
26.4,0,7,1,3,2,4,3,3,4,4
61.2,3,4,0,3,3,1,2,3,4,1
51.5,0,9,1,3,7,5,4,3,4,4
31.8,2,9,1,2,4,5,5,3,4,3
80,0,9,0,3,2,2,5,4,2,2
70.6,3,0,0,3,1,1,1,3,1,1
63.3,2,8,1,3,4,3,4,2,5,4
26.3,0,6,0,3,3,2,2,2,2,2
58.6,2,7,1,3,1,3,3,4,1,1
34.3,0,10,1,3,7,4,4,2,6,6
39.5,5,8,1,3,3,4,3,4,6,5
39.4,0,7,1,3,4,3,3,1,2,2
43,0,5,0,3,7,4,4,2,3,3
52.6,0,8,1,3,2,1,5,2,3,3
20.9,0,7,0,3,2,3,4,2,2,1
58.9,1,0,1,2,4,5,1,2,1,1
61.9,2,8,1,3,4,4,4,2,6,4
57.8,0,9,0,3,1,4,4,2,4,3
69.1,0,10,1,2,6,4,4,4,3,2
62.7,2,10,1,3,4,4,4,2,3,3
48.1,1,10,0,3,6,5,3,4,6,3
59.6,2,8,0,2,4,4,4,4,4,2
40.9,0,8,1,3,4,4,3,3,6,4
44.3,2,8,1,3,4,4,4,1,3,1
72.3,2,8,0,2,1,3,3,2,1,1
24.3,0,8,0,3,6,4,4,3,6,1
40.3,0,10,0,3,6,3,3,3,6,4
46.3,0,8,1,3,2,4,4,2,1,1
37.4,2,8,1,3,6,5,4,4,5,2
48.1,2,9,0,3,6,4,5,2,3,3
40.2,1,7,0,3,2,3,3,2,3,2
32.3,1,10,0,3,4,5,3,3,6,3
48,2,7,1,3,2,4,3,3,4,1
58.5,2,10,1,3,7,5,5,3,6,3
79.9,2,10,0,3,1,3,5,2,1,1
21.4,0,8,1,3,4,4,4,3,1,1
61.3,0,6,1,3,2,4,4,2,5,5
53.8,3,10,1,3,6,3,4,2,6,6
38.3,2,3,1,3,6,3,1,1,3,1
76.8,2,8,1,2,2,3,3,2,3,2
72.6,3,9,0,3,1,5,4,1,4,2
70,2,10,0,3,4,4,3,3,3,1
69.3,2,7,0,3,3,3,3,4,1,1
51.4,3,8,1,1,2,4,5,3,4,2
37,3,9,1,3,2,4,4,4,4,3
36.2,0,7,1,3,7,5,5,1,5,5
79,2,7,0,3,4,3,5,4,3,3
27.5,0,7,0,3,4,4,3,3,1,1
80,5,8,0,3,4,5,3,2,3,3
24.5,0,8,1,3,1,5,5,3,2,1
61.2,1,6,0,3,6,3,2,2,1,1
56,1,8,1,3,4,3,4,4,6,5
40,2,7,0,3,6,4,4,3,1,1
55.9,0,8,0,3,7,3,3,3,5,5
